policy_w,driver_w,cyclist_w,Traj 0,Traj 1,Traj 2,Traj 3,best_traj_label
0.48,0.26,0.26,0.5315580741380225,0.5255571097008959,0.513585712078308,0.5236903709363906,Traj 0
0.48,0.28,0.24,0.4944263808224635,0.488882993443202,0.4777969036975383,0.4864377853153936,Traj 0
0.48,0.3,0.22,0.4542533498001153,0.44919491950136614,0.43905374453907214,0.44631036625315756,Traj 0
0.48,0.32,0.2,0.4118460017451738,0.40729049800220735,0.3981352864360704,0.40410842617490206,Traj 0
0.48,0.34,0.18,0.36802723855315916,0.36398330084880864,0.35583651740608835,0.360643384629198,Traj 0
0.48,0.36,0.16,0.3235472573410475,0.3200152358710085,0.31288267984547125,0.31665119099866085,Traj 0
0.48,0.38,0.14,0.27904254352538077,0.27601594709006555,0.2698895230693206,0.2727528985002812,Traj 0
0.48,0.4,0.12,0.2350321658806844,0.23249910018759254,0.2273596065122827,0.2294519122316868,Traj 0
0.48,0.42,0.1,0.19193309413897497,0.1898774881315842,0.18569701048044804,0.1871497621396006,Traj 0
0.48,0.44,0.08,0.15008100056989257,0.14848357123029052,0.1452273736177453,0.14616706292614642,Traj 0
0.48,0.46,0.06,0.10974974988323083,0.10858872975965508,0.10621668455471936,0.10676301673648719,Traj 0
0.48,0.48,0.04,0.07116726870559412,0.07041894343020808,0.06888659010361074,0.06915123733344995,Traj 0
0.5,0.0,0.5,0.0,0.0,0.0,0.0,"Traj 0, Traj 1, Traj 2, and Traj 3"
0.5,0.02,0.48,0.027230186075622703,0.0268815899350132,0.026204227791798495,0.027377707507624825,Traj 3
0.5,0.04,0.46,0.0572128141345388,0.05648638815913616,0.05507114577611027,0.05742201888243019,Traj 3
0.5,0.06,0.44,0.08992427719873487,0.08879173543212757,0.08657953690153136,0.09009836452648287,Traj 3
0.5,0.08,0.42,0.12530798311539154,0.12374236057524096,0.12067632775545767,0.12533983397528592,Traj 3
0.5,0.1,0.4,0.16326351829449584,0.1612396645566899,0.1572661178681237,0.16303658936033266,Traj 0
0.5,0.12,0.38,0.20363267861511378,0.20112790498078054,0.19619767825065504,0.20302224439261157,Traj 0
0.5,0.14,0.36,0.24618235768168065,0.24317726963308606,0.2372474058722375,0.24505722676796793,Traj 0
